created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
2026-04-08 11:07:55.789,0.026358,,,,0,5983,1888,1799,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,19710,2710,,critic-api
2026-04-08 11:05:33.204,0.070906,,,0,0,4352,1630,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,17193,17066,,critic-api
2026-04-08 11:04:45.523,0.024608,,,0,0,5903,1723,1360,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,17884,4188,,critic-api
2026-04-08 11:04:21.635,0.070143,,,0,0,3637,1495,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,16892,16802,,critic-api
2026-04-08 11:03:38.935,0.028108,,,0,0,5903,2073,1801,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,20665,4404,,critic-api
2026-04-08 11:03:21.376,0.02713,,,,0,5848,1982,1786,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,24470,8105,,critic-api
2026-04-08 11:03:01.289,0.070987,,,0,0,7575,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,30386,30258,,critic-api
2026-04-08 11:02:36.832,0.07033,,,0,0,6261,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,38453,38413,,critic-api
2026-04-08 11:01:58.878,0.025228,,,0,0,5903,1785,1480,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,18248,3706,,critic-api
2026-04-08 11:01:52.422,0.024196,,,0,0,4269,1886,1673,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,17705,4027,,critic-api
2026-04-08 11:01:34.600,0.070439,,,0,0,3634,1594,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,16544,16457,,critic-api
2026-04-08 11:01:30.796,0.069868,,,0,0,2858,1533,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,16382,16205,,critic-api
2026-04-08 11:01:05.639,0.025655,,,,0,4268,2032,1728,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,20752,5565,,critic-api
2026-04-08 11:00:49.389,0.027168,,,0,0,5903,1979,1740,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,21080,5248,,critic-api
2026-04-08 11:00:32.698,0.069728,,,0,0,5057,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,27596,27480,,critic-api
2026-04-08 11:00:07.146,0.070987,,,0,0,7575,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,35000,34930,,critic-api
